,mean,std
"Fp1[1, 8]",-0.03191579828338927,0.1285160387749555
"Fpz[1, 8]",-0.03173406481254376,0.11774276596294957
"Fp2[1, 8]",-0.015544084113842126,0.11509110423459602
"F7[1, 8]",-0.025812581378101107,0.12353756643097652
"F3[1, 8]",-0.03353172752899667,0.14004471337741833
"Fz[1, 8]",-0.03852041917130257,0.14723508863790988
"F4[1, 8]",-0.01549749606937752,0.11672128163133888
"F8[1, 8]",-0.002014035053741836,0.11751907125864784
"FC5[1, 8]",-0.02370451052531505,0.12481474693962051
"FC1[1, 8]",-0.03285203417103007,0.15162277665339427
"FC2[1, 8]",-0.02576998247153691,0.12805786733902152
"FC6[1, 8]",-0.007643056105158925,0.11181127281211893
"M1[1, 8]",-0.007195067870406564,0.11221871642464874
"T7[1, 8]",-0.017402525116945882,0.12443289668490654
"C3[1, 8]",-0.03123450557541453,0.13298183621935614
"Cz[1, 8]",-0.033552226992441286,0.12893589790763904
"C4[1, 8]",-0.01691555847629675,0.12172723175133505
"T8[1, 8]",-0.019628644326784867,0.12285775238339852
"M2[1, 8]",-0.03743112847930037,0.12409969747381577
"CP5[1, 8]",-0.027166149674119778,0.11527448598785736
"CP1[1, 8]",-0.04184476003287317,0.13138153168651498
"CP2[1, 8]",-0.028658730916638113,0.12225497248397378
"CP6[1, 8]",-0.028346948305540645,0.12535524702916132
"P7[1, 8]",-0.014230386747149592,0.10146222235399022
"P3[1, 8]",-0.036444054338137,0.12437136021346791
"Pz[1, 8]",-0.033739041497038144,0.12856853752293454
"P4[1, 8]",-0.026192533568806863,0.1258658899175496
"P8[1, 8]",-0.04298648724360199,0.1347060136995536
"POz[1, 8]",-0.04408843116634789,0.13428946413023163
"O1[1, 8]",-0.036506652346296874,0.12689201925847
"O2[1, 8]",-0.03895137365961876,0.13722985807964708
"CPz[1, 8]",-0.034630153262720696,0.12793662432759467
"AF7[1, 8]",-0.02912485996471397,0.12831937656237602
"AF3[1, 8]",-0.03607494007727036,0.1302143266770104
"AF4[1, 8]",-0.01978474064353966,0.11498171220891225
"AF8[1, 8]",-0.007790493725207234,0.1156494629543174
"F5[1, 8]",-0.026667082873700555,0.12821243796154325
"F1[1, 8]",-0.036695845946056536,0.1470776665742993
"F2[1, 8]",-0.02567009577968898,0.12267993201698513
"F6[1, 8]",-0.002850941947671309,0.1165761083109778
"FC3[1, 8]",-0.021775867225480805,0.13648387087863714
"FCz[1, 8]",-0.03224074802108153,0.13726197904291212
"FC4[1, 8]",-0.01884160823537265,0.11484356625929058
"C5[1, 8]",-0.023037172603057175,0.12621008633788167
"C1[1, 8]",-0.034711686584481934,0.13855904060659602
"C2[1, 8]",-0.03096433516761637,0.12715609705272024
"C6[1, 8]",-0.021280253809709413,0.12331216035459083
"CP3[1, 8]",-0.03900675929181435,0.12982152924629634
"CP4[1, 8]",-0.021668135852872836,0.1310564695482566
"P5[1, 8]",-0.030857457058239567,0.10970799554441209
"P1[1, 8]",-0.03831815970229638,0.12359039196095332
"P2[1, 8]",-0.033011831585620224,0.12425118681549827
"P6[1, 8]",-0.036545708819312114,0.1302367703118195
"PO5[1, 8]",-0.03655297662000624,0.12611044806980476
"PO3[1, 8]",-0.03636098775330317,0.12655304782604984
"PO4[1, 8]",-0.041500069902468587,0.1329223438125133
"PO6[1, 8]",-0.0418462021139683,0.1388216045479739
"FT7[1, 8]",-0.02047568817818842,0.12786826014624875
"FT8[1, 8]",-0.00753079102387021,0.11754732104661508
"TP7[1, 8]",-0.005695011790231048,0.11427769309076502
"TP8[1, 8]",-0.03235427961009817,0.12127524971280126
"PO7[1, 8]",-0.03518433333034365,0.12310026186650311
"PO8[1, 8]",-0.04140366061482487,0.13792944263741885
"Oz[1, 8]",-0.04147050394644757,0.13429705430239236
Fp1matched,0.056122366605421505,0.2351487095216208
Fpzmatched,0.08106310872077568,0.2716589230864818
Fp2matched,0.06712152616047068,0.3035462907540286
F7matched,0.023112883975506593,0.2296643110983495
F3matched,0.011191053151127096,0.12934647119003667
Fzmatched,0.015464476398613603,0.2220209910585212
F4matched,0.05879032324390335,0.30108166228070954
F8matched,-0.01461134995792272,0.2819405613303895
FC5matched,0.033395352743664494,0.19929713304691418
FC1matched,0.030674698858295924,0.18765199980241423
FC2matched,0.03383806231288862,0.2857067078040416
FC6matched,-0.009867369997666204,0.2635582300559695
M1matched,0.07985443568097682,0.29214850329462333
T7matched,0.06854678242868062,0.27207734835578556
C3matched,0.0328105704687576,0.22861052808143673
Czmatched,0.052739310860179335,0.25987262062424354
C4matched,0.023131200067814193,0.2678511167803782
T8matched,0.004235658555595429,0.24796865557715453
M2matched,0.015848673502471204,0.2630290601462819
CP5matched,0.06203607088583851,0.260354011597699
CP1matched,0.06866419748874494,0.2715331851605908
CP2matched,0.042198085395938875,0.2857042874829146
CP6matched,0.009452171093698624,0.23538238558553654
P7matched,0.05777650815184988,0.2733841535530971
P3matched,0.03415378363383268,0.294776985142805
Pzmatched,0.05525408286680591,0.284144239250965
P4matched,0.028760094618486765,0.25946789029406103
P8matched,0.01831181049217904,0.2707601749253783
POzmatched,0.060203855224371015,0.28945010605108695
O1matched,0.03438626469199528,0.25670227873942864
O2matched,0.02394341568524405,0.31420871674418793
CPzmatched,0.06572898535925226,0.26846552964950166
AF7matched,0.014438224432341143,0.20429626771510045
AF3matched,0.035005332145695664,0.17840485296892283
AF4matched,0.06774389159639395,0.31057464795882406
AF8matched,0.027621954706912585,0.3235429908356753
F5matched,0.006360064079162437,0.223250943921636
F1matched,0.025597026231961372,0.16630293856631578
F2matched,0.03750119101167609,0.28448235978077985
F6matched,0.007527191552787626,0.3087572142815984
FC3matched,0.004819036859979598,0.1759592885935635
FCzmatched,0.017100939281102585,0.2673146136260571
FC4matched,0.05416873750918044,0.27091841724073706
C5matched,0.04795040053466395,0.23371742476081772
C1matched,0.06315129254948962,0.23070364472859894
C2matched,0.046834798363062556,0.2929499559526673
C6matched,0.003352936656485463,0.2290515815820498
CP3matched,0.049862285169733685,0.25723088760319524
CP4matched,0.04163890655669288,0.2469020780179779
P5matched,0.032405140174359734,0.28353735850620626
P1matched,0.05088250346634962,0.2907076192438008
P2matched,0.07059974489975138,0.30330938682363057
P6matched,0.02000757325426864,0.2676878980536033
PO5matched,0.039267612283119126,0.2692450998145586
PO3matched,0.03383548995178561,0.30227149530276964
PO4matched,0.03829730637137684,0.30379751999533094
PO6matched,0.02525209497822418,0.31416019270733875
FT7matched,0.04627581786165404,0.2758001270953099
FT8matched,-0.014653287332703784,0.26289572428925573
TP7matched,0.06810050715522785,0.27548239060635005
TP8matched,0.02770360978290134,0.23528030702845815
PO7matched,0.036459239599610685,0.28815404653660237
PO8matched,0.011648720119246959,0.3209120131888347
Ozmatched,0.05632711730457185,0.2629986858009001
